2021-07-02	09:01:00	09:01:00	205	A054630	A054630	1085	1060	-2.64%	38,270,608	MA_BASE_0280	0.0213234685136453	
2021-07-02	09:01:00	09:05:00	2	A127710	A127710	6260	6420	2.21%	156,102,177	MA_BASE_0035	0.00891250845271981	
2021-07-02	09:01:00	10:36:00	11	A039020	A039020	6980	6990	-0.20%	1,155,587,511	MA_BASE_0035	0.325961748601603	
2021-07-02	09:01:00	10:40:00	12	A039020	A039020	6940	7010	0.67%	1,337,883,484	MA_BASE_0070	0.379557907710724	
2021-07-02	09:01:00	10:55:00	15	A089850	A089850	15600	15900	1.58%	152,582,040	MA_BASE_0070	0.00926919413763202	
2021-07-02	09:01:00	11:16:00	10	A212560	A212560	10300	10450	1.11%	92,187,060	MA_BASE_0035	0.0153614845556168	
2021-07-02	09:01:00	11:18:00	8	A212560	A212560	10250	10450	1.60%	125,219,637	MA_BASE_0070	0.0209676145949722	
2021-07-02	09:01:00	11:19:00	5	A043910	A043910	2760	2840	2.55%	257,500,134	MA_BASE_0070	0.00832329838214402	
2021-07-02	09:01:00	11:19:00	234	A196700	A196700	7340	6890	-6.45%	48,911,191	MA_BASE_0280	0.007552992168913	
2021-07-02	09:01:00	11:20:00	3	A043910	A043910	2735	2825	2.94%	311,501,594	MA_BASE_0280	0.010160849755325	
2021-07-02	09:01:00	11:43:00	10	A196700	A196700	7180	7320	1.60%	183,599,780	MA_BASE_0070	0.0289837495593668	
2021-07-02	09:01:00	12:00:00	202	A004830	A004830	19150	20200	5.13%	417,112,852	MA_BASE_0560	0.0160041778748974	
2021-07-02	09:01:00	12:00:00	202	A007860	A007860	15350	15850	2.91%	166,149,168	MA_BASE_0560	0.0136036582913562	
2021-07-02	09:01:00	12:00:00	62	A052460	A052460	6990	7150	1.94%	58,132,335	MA_BASE_0560	0.017924070821255	
2021-07-02	09:01:00	12:00:00	202	A053290	A053290	19050	19700	3.06%	300,602,332	MA_BASE_0560	0.00970158659503646	
2021-07-02	09:01:00	12:00:00	486	A196700	A196700	7270	6560	-10.07%	61,836,439	MA_BASE_0560	0.00964088532427773	
2021-07-02	09:01:00	12:01:00	137	A000325	A000325	69500	70300	0.81%	10,056,650	MA_BASE_0560	0.0118393061692031	
2021-07-02	09:01:00	12:01:00	200	A001527	A001527	20200	20800	2.62%	6,274,120	MA_BASE_0560	0.0232398054620277	
2021-07-02	09:01:00	12:01:00	201	A001529	A001529	56100	58500	3.92%	9,006,855	MA_BASE_0560	0.0134070981210856	
2021-07-02	09:01:00	12:01:00	211	A004835	A004835	29500	31450	6.25%	40,351,575	MA_BASE_0560	0.0296366512111626	
2021-07-02	09:01:00	12:01:00	161	A006345	A006345	5210	5540	5.97%	30,563,162	MA_BASE_0560	0.0161590883423179	
2021-07-02	09:01:00	12:01:00	225	A043100	A043100	1595	1620	1.22%	25,556,605	MA_BASE_0560	0.000124210801962572	
2021-07-02	09:01:00	12:01:00	201	A054630	A054630	1060	1075	1.07%	7,102,424	MA_BASE_0560	0.00405063352358084	
2021-07-02	09:01:00	12:01:00	84	A136510	A136510	39800	41300	3.42%	102,761,610	MA_BASE_0560	0.00214991223658485	
2021-07-02	09:01:00	12:03:00	106	A016880	A016880	2605	2655	1.57%	69,161,317	MA_BASE_0560	0.00776000652380165	
2021-07-02	09:01:00	12:05:00	57	A020400	A020400	12850	13350	3.54%	13,656,338	MA_BASE_0560	0.0479191090269637	
2021-07-02	09:01:00	12:08:00	93	A001520	A001520	2080	2135	2.30%	128,575,096	MA_BASE_0560	0.00263286535886646	
2021-07-02	09:01:00	12:08:00	10	A196700	A196700	6980	7120	1.66%	92,044,911	MA_BASE_0070	0.0149469029858782	
2021-07-02	09:01:00	12:14:00	408	A310200	A310200	4180	3985	-4.99%	21,232,310	MA_BASE_0560	0.000177870843111648	
2021-07-02	09:01:00	12:20:00	110	A054410	A054410	9100	9270	1.52%	14,252,875	MA_BASE_0560	0.0287982422270028	
2021-07-02	09:01:00	12:31:00	150	A090355	A090355	29650	31200	4.87%	4,318,522	MA_BASE_0560	0.0174076730010757	
2021-07-02	09:01:00	12:35:00	163	A038620	A038620	4140	4195	0.98%	67,584,879	MA_BASE_0560	0.00240945566169721	
2021-07-02	09:01:00	14:10:00	11	A039020	A039020	6610	6670	0.56%	457,851,896	MA_BASE_0035	0.136377516966822	
2021-07-02	09:01:00	15:20:00	384	A221610	A221610	7580	7420	-2.44%	70,880,201	MA_BASE_0560	0.00163526518683499	
2021-07-05	09:01:00	09:01:00	49	A009275	A009275	46450	50000	7.28%	2,224,955	MA_BASE_0560	0.0502623294858342	
2021-07-05	09:01:00	09:01:00	403	A015020	A015020	6170	5870	-5.19%	185,494,572	MA_BASE_0560	0.00315912245938681	
2021-07-05	09:01:00	09:01:00	482	A023810	A023810	17100	15350	-10.54%	25,477,290	MA_BASE_0560	0.0160950210113537	
2021-07-05	09:01:00	09:01:00	8	A185490	A185490	40500	42500	4.58%	341,568,900	MA_BASE_0280	0.00341223660137383	
2021-07-05	09:01:00	09:02:00	3	A052860	A052860	4430	4630	4.16%	9,473,776	MA_BASE_0140	0.0121066903680891	
2021-07-05	09:01:00	09:03:00	349	A066360	A066360	2185	2230	1.71%	30,594,916	MA_BASE_0560	0.0553501122636139	
2021-07-05	09:01:00	09:03:00	3	A293940	A293940	7540	7990	5.61%	7,619,170	MA_BASE_0140	0.0124722290792397	
2021-07-05	09:01:00	09:04:00	219	A084180	A084180	2705	2700	-0.52%	37,385,534	MA_BASE_0560	0.00799570735996853	
2021-07-05	09:01:00	09:06:00	20	A007390	A007390	28500	28200	-1.39%	534,846,675	MA_BASE_0035	0.010032766184485	
2021-07-05	09:01:00	09:08:00	37	A069460	A069460	4050	4275	5.20%	43,851,375	MA_BASE_0560	0.0121978284429364	
2021-07-05	09:01:00	09:16:00	73	A101390	A101390	1125	1165	3.20%	76,496,850	MA_BASE_0560	0.0145067099496447	
2021-07-05	09:01:00	09:18:00	2	A053700	A053700	7200	7520	4.09%	50,892,480	MA_BASE_0560	0.0135471988132497	
2021-07-05	09:01:00	09:21:00	10	A007390	A007390	27800	28600	2.53%	798,125,490	MA_BASE_0140	0.0153483832889786	
